
Target: FloripaSat_2

Observer: INPE_RN
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
12 Feb 2022 02:25:38.306    12 Feb 2022 02:32:02.393      384.08681732    
12 Feb 2022 13:04:57.623    12 Feb 2022 13:05:51.746      54.122797865    
12 Feb 2022 14:37:12.696    12 Feb 2022 14:42:07.470      294.77388676    
13 Feb 2022 02:19:00.051    13 Feb 2022 02:25:15.200      375.14834142    
13 Feb 2022 14:30:10.372    13 Feb 2022 14:35:41.951      331.57894827    
14 Feb 2022 02:12:24.170    14 Feb 2022 02:18:23.875      359.70535695    
14 Feb 2022 14:23:12.952    14 Feb 2022 14:29:11.010      358.05781446    
15 Feb 2022 02:05:51.178    15 Feb 2022 02:11:27.907      336.72881472    
15 Feb 2022 14:16:19.299    15 Feb 2022 14:22:35.790      376.49156927    
16 Feb 2022 01:59:22.012    16 Feb 2022 02:04:26.362      304.34953356    
16 Feb 2022 14:09:28.800    16 Feb 2022 14:15:56.909      388.10861644    
17 Feb 2022 01:52:58.533    17 Feb 2022 01:57:17.377      258.84328145    
17 Feb 2022 03:28:25.962    17 Feb 2022 03:30:25.643      119.68189428    
17 Feb 2022 14:02:41.126    17 Feb 2022 14:09:14.706      393.58084523    
18 Feb 2022 01:46:45.490    18 Feb 2022 01:49:56.202      190.71217405    
18 Feb 2022 03:20:56.609    18 Feb 2022 03:24:29.645      213.03616595    
18 Feb 2022 13:55:56.122    18 Feb 2022 14:02:29.345      393.22234002    
19 Feb 2022 01:41:20.624    19 Feb 2022 01:41:45.094      24.469581933    
19 Feb 2022 03:13:45.109    19 Feb 2022 03:18:13.876      268.76710077    
19 Feb 2022 13:49:13.780    19 Feb 2022 13:55:40.846      387.06564973    
20 Feb 2022 03:06:40.921    20 Feb 2022 03:11:48.893      307.97165986    
20 Feb 2022 13:42:34.227    20 Feb 2022 13:48:49.094      374.86655734    
21 Feb 2022 02:59:41.167    21 Feb 2022 03:05:17.591      336.42424580    
21 Feb 2022 13:35:57.764    21 Feb 2022 13:41:53.804      356.03959656    
22 Feb 2022 02:52:44.590    22 Feb 2022 02:58:41.240      356.64999420    
22 Feb 2022 13:29:24.950    22 Feb 2022 13:34:54.431      329.48040302    
23 Feb 2022 02:45:50.554    23 Feb 2022 02:52:00.491      369.93711692    
23 Feb 2022 13:22:56.829    23 Feb 2022 13:27:49.950      293.12038631    
23 Feb 2022 14:59:23.925    23 Feb 2022 15:00:16.558      52.632965811    
24 Feb 2022 02:38:58.733    24 Feb 2022 02:45:15.681      376.94825779    
24 Feb 2022 13:16:35.583    24 Feb 2022 13:20:38.198      242.61553867    
24 Feb 2022 14:51:19.706    24 Feb 2022 14:54:38.810      199.10344536    
25 Feb 2022 02:32:08.996    25 Feb 2022 02:38:26.947      377.95058495    
25 Feb 2022 13:10:27.448    25 Feb 2022 13:13:12.960      165.51143347    
25 Feb 2022 14:43:54.548    25 Feb 2022 14:48:21.438      266.88935749    
26 Feb 2022 02:25:21.372    26 Feb 2022 02:31:34.269      372.89708188    
26 Feb 2022 14:36:40.203    26 Feb 2022 14:41:52.689      312.48648934    
27 Feb 2022 02:18:36.046    27 Feb 2022 02:24:37.468      361.42145670    
27 Feb 2022 14:29:32.136    27 Feb 2022 14:35:17.096      344.96003548    
28 Feb 2022 02:11:53.410    28 Feb 2022 02:17:36.154      342.74469847    
28 Feb 2022 14:22:28.543    28 Feb 2022 14:28:36.468      367.92482114    
01 Mar 2022 02:05:14.184    01 Mar 2022 02:10:29.609      315.42502921    
01 Mar 2022 14:15:28.516    01 Mar 2022 14:21:51.714      383.19789574    
02 Mar 2022 01:58:39.749    02 Mar 2022 02:03:16.452      276.70284435    


Number of events : 143


